study_id,trial_number,trial_mode,box_number,distance_traveled,trial_time
s101,1,3,12,0.6687881050988802,3316
s101,2,4,12,0.7429566641765641,5183
s101,3,1,8,0.7413427648389004,3299
s101,4,1,4,0.47778632329266696,1767
s101,5,2,12,0.721837944854814,5885
s101,6,3,8,0.540799647220195,2472
s101,7,2,4,0.42802536219657195,2747
s101,8,3,8,0.5874995272693528,2157
s101,9,4,4,0.6088709566766148,3410
s101,10,1,4,0.4483940714559118,2001
s101,11,3,4,0.3808772262987403,1603
s101,12,3,12,0.868409729855551,2948
s101,13,4,4,0.31352677613164975,1459
s101,14,1,12,0.8740429003620825,3378
s101,15,3,8,0.6962602130524255,2523
s101,16,2,8,0.568278493865932,3007
s101,17,4,8,0.44760840524404905,2837
s101,18,2,4,0.3700740165438579,1466
s101,19,3,12,0.9085968291201308,3805
s101,20,1,4,0.26250663811826214,1235
s101,21,1,4,0.2955169568296493,1277
s101,22,2,12,0.5756708396011904,3492
s101,23,2,4,0.2820416899298131,1511
s101,24,3,12,0.8236265935568925,3677
s101,25,4,8,0.4840982259341094,2398
s101,26,1,8,0.6708950139051361,2998
s101,27,1,8,0.6516546651041177,2390
s101,28,3,4,0.4192230643626916,1375
s101,29,1,8,0.5145692075422296,1872
s101,30,4,4,0.31601887946694857,1592
s101,31,2,12,0.6643068384517518,2859
s101,32,3,4,0.35929155375560945,1264
s101,33,1,4,0.41213084067849176,1456
s101,34,4,8,0.5261432714494267,2215
s101,35,4,4,0.2637130779288362,943
s101,36,4,4,0.3372327660906239,1234
s101,37,1,4,0.5003999213814702,1616
s101,38,1,12,0.7783773808305899,3047
s101,39,4,8,0.3508793686892689,1813
s101,40,2,8,0.4540874600111882,2450
s101,41,4,8,0.338450807511644,1746
s101,42,3,4,0.2986573853178496,1019
s101,43,3,12,0.9303443156669586,3245
s101,44,4,4,0.35303269805136883,1246
s101,45,1,4,0.5619666275052124,1957
s101,46,3,12,0.8729480543845914,3366
s101,47,1,12,0.7821807162093094,2669
s101,48,1,12,0.7684062769883035,3928
s101,49,4,4,1.0366949579394893,4225
s101,50,3,4,0.4592002428422535,1874
s101,51,1,8,0.6197955738420489,2449
s101,52,4,4,0.27460525395182883,1204
s101,53,1,8,0.7234565190981047,2779
s101,54,2,8,3.096484250225425,11999
s101,55,4,12,1.806388121026392,7391
s101,56,3,4,0.3385701465562733,1152
s101,57,2,12,2.281959547683196,8787
s101,58,3,8,0.5925975456269346,2571
s101,59,2,12,0.6432089016390079,2923
s101,60,1,4,0.3769004873455707,1498
s101,61,2,4,0.3424407037806285,1432
s101,62,3,12,0.9763608462925988,4467
s101,63,1,4,0.3520451938185736,1263
s101,64,4,8,0.5046813863942553,2141
s101,65,4,4,0.38839648663516335,1638
s101,66,2,8,0.7564058176527757,3604
s101,67,1,8,0.7093935037810853,3079
s101,68,2,8,2.317449531619275,8659
s101,69,1,4,0.34464295626002334,1175
